subject_id,filename,has_practice_effect,notes
sub1,EIT_horizontask_sub1_20181003T084055.mat,0,
sub2,EIT_horizontask_sub2_20181008T081712.mat,0,
sub3,EIT_horizontask_sub3_20180924T082827.mat,0,
sub4,EIT_horizontask_sub4_20180926T082817.mat,0,
sub5,EIT_horizontask_sub5_20180927T081027.mat,0,
sub6,EIT_horizontask_sub6_20181121T083150.mat,0,
sub8,EIT_horizontask_sub8_20181015T082055.mat,0,
sub10,EIT_horizontask_sub10_20181002T080919.mat,0,
sub11,EIT_horizontask_sub11_20181009T083512.mat,0,
sub12,EIT_horizontask_sub12_20181013T080442.mat,0,
sub13,EIT_horizontask_sub13_20181020T082221.mat,0,
sub14,EIT_horizontask_sub14_20181010T081335.mat,0,
sub16,EIT_horizontask_sub16_20181027T083411.mat,0,
sub17,EIT_horizontask_sub17_20181103T082906.mat,0,
sub18,EIT_horizontask_sub18_20181110T081522.mat,0,
sub19,EIT_horizontask_sub19_20181213T082925.mat,0,
sub21,EIT_horizontask_sub21_20181024T082026.mat,0,
sub22,EIT_horizontask_sub22_20181023T083652.mat,0,
sub23,EIT_horizontask_sub23_20181106T083613.mat,0,
sub24,EIT_horizontask_sub24_20181101T081839.mat,0,
sub26,EIT_horizontask_sub26_20181215T082303.mat,0,
sub28,EIT_horizontask_sub28_20181030T084406.mat,0,
sub29,EIT_horizontask_sub29_20181126T082659.mat,0,
sub30,EIT_horizontask_sub30_20181113T081334.mat,0,
sub31,EIT_horizontask_sub31_20181108T083331.mat,0,
sub32,EIT_horizontask_sub32_20181102T083252.mat,0,
sub33,EIT_horizontask_sub33_20181109T082050.mat,0,
sub35,EIT_horizontask_sub35_20181105T083305.mat,0,
sub36,EIT_horizontask_sub36_20181120T082205.mat,0,
sub37,EIT_horizontask_sub37_20181107T081547.mat,0,
sub38,EIT_horizontask_sub38_20181217T082048.mat,0,
sub39,EIT_horizontask_sub39_20181220T082832.mat,0,
sub40,EIT_horizontask_sub40_20181214T082259.mat,0,
sub41,EIT_horizontask_sub41_20181127T082213.mat,0,
sub42,EIT_horizontask_sub42_20181113T084305.mat,0,
sub43,EIT_horizontask_sub43_20181212T082013.mat,0,
sub44,EIT_horizontask_sub44_20190109T082510.mat,0,
sub45,EIT_horizontask_sub45_20190116T083420.mat,0,
sub46,EIT_horizontask_sub46_20190107T083209.mat,0,
sub48,EIT_horizontask_sub48_20190111T083538.mat,0,
sub49,EIT_horizontask_sub49_20190115T082621.mat,0,
sub51,EIT_horizontask_sub51_20190108T082447.mat,0,
sub52,EIT_horizontask_sub52_20190107T083447.mat,0,
sub54,EIT_horizontask_sub54_20190308T082621.mat,0,
sub56,EIT_horizontask_sub56_20190112T082641.mat,0,
sub57,EIT_horizontask_sub57_20190128T082048.mat,0,
sub58,EIT_horizontask_sub58_20190129T084303.mat,0,
sub59,EIT_horizontask_sub59_20190125T082149.mat,0,
sub62,EIT_horizontask_sub62_20190209T083809.mat,0,
sub63,EIT_horizontask_sub63_20190125T082940.mat,0,
sub64,EIT_horizontask_sub64_20190123T084549.mat,0,
sub65,EIT_horizontask_sub65_20190225T090306.mat,0,
sub66,EIT_horizontask_sub66_20190123T083952.mat,0,
sub67,EIT_horizontask_sub67_20190323T082746.mat,0,
sub70,EIT_horizontask_sub70_20190212T084336.mat,0,
sub71,EIT_horizontask_sub71_20190318T082520.mat,0,
sub76,EIT_horizontask_sub76_20190210T082756.mat,0,
sub78,EIT_horizontask_sub78_20190217T083902.mat,0,
sub79,EIT_horizontask_sub79_20190316T082252.mat,0,
sub80,EIT_horizontask_sub80_20190218T084805.mat,0,
sub81,EIT_horizontask_sub81_20190323T082430.mat,0,
sub82,EIT_horizontask_sub82_20190309T082257.mat,0,
sub83,EIT_horizontask_sub83_20190405T082621.mat,0,
sub84,EIT_horizontask_sub84_20190301T082951.mat,0,
sub85,EIT_horizontask_sub85_20190215T083323.mat,0,
sub86,EIT_horizontask_sub86_20190322T083046.mat,0,
sub88,EIT_horizontask_sub88_20190226T083414.mat,0,
sub89,EIT_horizontask_sub89_20190222T085213.mat,0,
sub90,EIT_horizontask_sub90_20190320T083805 - Copy.mat,0,
sub91,EIT_horizontask_sub91_20190227T081633.mat,0,
sub94,EIT_horizontask_sub94_20190221T082158.mat,0,
sub96,EIT_horizontask_sub96_20190220T083521.mat,0,
sub97,EIT_horizontask_sub97_20190314T082748.mat,0,
sub99,EIT_horizontask_sub99_20190219T082756.mat,0,
sub101,EIT_horizontask_sub101_20190322T082539.mat,0,
sub102,EIT_horizontask_sub102_20190220T083220.mat,0,
sub103,EIT_horizontask_sub103_20190219T082425.mat,0,
sub104,EIT_horizontask_sub104_20190322T082309.mat,0,
sub105,EIT_horizontask_sub105_20190321T082449.mat,0,
sub106,EIT_horizontask_sub106_20190413T081449.mat,0,
sub107,EIT_horizontask_sub107_20190319T083158.mat,0,
sub109,EIT_horizontask_sub109_20190313T082924.mat,0,
sub111,EIT_horizontask_sub111_20190515T085026.mat,0,
sub114,EIT_horizontask_sub114_20190304T081659.mat,0,
sub115,EIT_horizontask_sub115_20190319T082140.mat,0,
sub117,EIT_horizontask_sub117_20190306T082900.mat,0,
sub118,EIT_horizontask_sub118_20190812T083423.mat,0,
sub119,EIT_horizontask_sub119_20190228T084816.mat,0,
sub123,EIT_horizontask_sub123_20190401T082316.mat,0,
sub124,EIT_horizontask_sub124_20190412T082919.mat,0,
sub125,EIT_horizontask_sub125_20190316T081739.mat,0,
sub127,EIT_horizontask_sub127_20190312T084336.mat,0,
sub129,EIT_horizontask_sub129_20190412T084019.mat,0,
sub130,EIT_horizontask_sub130_20190325T084319.mat,0,
sub131,EIT_horizontask_sub131_20190318T082808.mat,0,
sub132,EIT_horizontask_sub132_20190312T082542.mat,0,
sub133,EIT_horizontask_sub133_20190419T083522.mat,0,
sub134,EIT_horizontask_sub134_20190401T081924.mat,0,
sub135,EIT_horizontask_sub135_20190505T090306.mat,0,
sub136,EIT_horizontask_sub136_20190406T082620.mat,0,
sub137,EIT_horizontask_sub137_20190326T082431.mat,0,
sub139,EIT_horizontask_sub139_20190705T090051.mat,0,
sub140,EIT_horizontask_sub140_20190409T084333.mat,0,
sub145,EIT_horizontask_sub145_20190320T081746.mat,0,
sub146,EIT_horizontask_sub146_20190516T084255.mat,0,
sub147,EIT_horizontask_sub147_20190426T090545.mat,0,
sub149,EIT_horizontask_sub149_20190409T083013.mat,0,
sub151,EIT_horizontask_sub151_20190326T085715.mat,0,
sub152,EIT_horizontask_sub152_20190425T081903.mat,0,
sub153,EIT_horizontask_sub153_20190415T081830.mat,0,
sub154,EIT_horizontask_sub154_20190502T083645.mat,0,
sub155,EIT_horizontask_sub155_20190510T084425.mat,0,
sub157,EIT_horizontask_sub157_20190327T083336.mat,0,
sub158,EIT_horizontask_sub158_20190424T085017.mat,0,
sub160,EIT_horizontask_sub160_20190411T083221.mat,0,
sub161,EIT_horizontask_sub161_20190420T081539.mat,0,
sub162,EIT_horizontask_sub162_20190513T084147.mat,0,
sub163,EIT_horizontask_sub163_20190329T083130.mat,0,
sub164,EIT_horizontask_sub164_20190416T083355.mat,0,
sub165,EIT_horizontask_sub165_20190410T084652.mat,0,
sub166,EIT_horizontask_sub166_20190403T083018.mat,0,
sub168,EIT_horizontask_sub168_20190426T081044.mat,0,
